Prueba 1
T1 T2 %Carga
0.0 0.0 34.7
0.0 0.0 34.7
15.0 0.0 34.7
0.0 0.0 34.7
0.0 0.0 34.7
0.0 0.0 34.7
0.0 0.0 34.7
16.0 0.0 34.7
0.0 0.0 41.2
0.0 0.0 41.2
0.0 0.0 41.2
0.0 0.0 41.2
15.0 0.0 41.2
0.0 0.0 41.2
0.0 16.0 41.2
0.0 0.0 41.2
0.0 0.0 41.2
0.0 0.0 41.2
0.0 0.0 41.2
0.0 0.0 27.3
0.0 0.0 27.3
0.0 0.0 27.3
0.0 0.0 27.3
15.0 0.0 27.3
2.0 0.0 27.3
16.0 0.0 27.3
0.0 0.0 26.6
16.0 0.0 26.6
15.0 0.0 26.6
0.0 0.0 26.6
0.0 0.0 26.6
0.0 0.0 26.6
0.0 0.0 26.6
0.0 0.0 26.6
0.0 0.0 26.6
0.0 0.0 26.6
0.0 0.0 26.6
0.0 0.0 26.6
0.0 0.0 27.5
0.0 0.0 27.5
0.0 0.0 27.5
0.0 15.0 27.5
0.0 0.0 27.5
0.0 0.0 27.5
0.0 0.0 27.5
0.0 0.0 27.5
0.0 0.0 27.5
2.0 1.0 27.5
0.0 0.0 27.5
0.0 0.0 27.5
0.0 0.0 24.1
0.0 0.0 24.1
0.0 0.0 24.1
0.0 0.0 24.1
0.0 0.0 24.1
0.0 0.0 24.1
0.0 0.0 24.1
0.0 0.0 24.1
0.0 0.0 24.1
15.0 0.0 24.1
16.0 0.0 24.1
15.0 0.0 27.2
0.0 0.0 27.2
15.0 0.0 27.2
0.0 0.0 27.2
0.0 0.0 27.2
16.0 0.0 27.2
0.0 0.0 27.2
0.0 0.0 27.2
0.0 0.0 27.2
0.0 0.0 27.2
0.0 0.0 27.2
2.0 0.0 27.2
0.0 0.0 27.2
0.0 0.0 29.4
31.0 0.0 29.4
16.0 0.0 29.4
0.0 0.0 29.4
0.0 0.0 29.4
0.0 0.0 29.4
0.0 0.0 29.4
0.0 0.0 29.4
0.0 0.0 29.4
0.0 0.0 29.4
0.0 0.0 29.4
0.0 0.0 29.4
0.0 0.0 29.4
0.0 0.0 29.4
0.0 0.0 29.9
0.0 0.0 29.9
0.0 0.0 29.9
0.0 0.0 29.9
0.0 0.0 29.9
0.0 0.0 29.9
0.0 0.0 29.9
0.0 0.0 29.9
0.0 0.0 29.9
0.0 0.0 29.9
16.0 0.0 29.9
0.0 0.0 29.7
16.0 0.0 29.7
0.0 0.0 29.7
31.0 0.0 29.7
15.0 0.0 29.7
0.0 0.0 29.7
0.0 0.0 29.7
0.0 0.0 29.7
0.0 0.0 29.7
0.0 0.0 29.7
15.0 0.0 29.7
16.0 0.0 29.7
0.0 0.0 29.7
0.0 0.0 24.9
0.0 0.0 24.9
0.0 0.0 24.9
0.0 0.0 24.9
0.0 0.0 24.9
0.0 0.0 24.9
15.0 0.0 24.9
0.0 0.0 24.9
0.0 0.0 24.9
0.0 0.0 27.6
0.0 0.0 27.6
0.0 0.0 27.6
0.0 0.0 27.6
0.0 0.0 27.6
0.0 0.0 27.6
0.0 0.0 27.6
0.0 0.0 27.6
0.0 0.0 27.6
0.0 0.0 27.6
15.0 0.0 27.6
0.0 0.0 27.6
0.0 0.0 27.6
0.0 0.0 25.5
16.0 0.0 25.5
0.0 0.0 25.5
0.0 0.0 25.5
0.0 0.0 25.5
0.0 0.0 25.5
0.0 0.0 25.5
0.0 0.0 25.5
15.0 0.0 25.5
0.0 0.0 25.5
16.0 0.0 25.5
0.0 0.0 25.5
1.0 0.0 13.8
0.0 0.0 13.8
0.0 0.0 13.8
0.0 0.0 13.8
Numero de Fallas:0
Prueba 6
T1 T2 %Carga
0.0 0.0 0.0
0.0 0.0 0.0
2.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
172.0 15.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
16.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 28.9
0.0 0.0 28.9
0.0 16.0 28.9
0.0 0.0 28.9
0.0 0.0 28.9
0.0 0.0 28.9
16.0 0.0 28.9
0.0 0.0 28.9
0.0 0.0 28.9
0.0 0.0 28.9
0.0 0.0 28.9
0.0 0.0 28.3
3.0 0.0 28.3
0.0 16.0 28.3
0.0 0.0 28.3
16.0 0.0 28.3
0.0 0.0 28.3
0.0 0.0 28.3
0.0 0.0 28.3
0.0 0.0 28.3
0.0 0.0 28.3
0.0 0.0 44.3
0.0 0.0 44.3
0.0 0.0 44.3
